text,label
Овощная лазанья с тыквой и эскаролом https://t.co/kUHtD6WunY #рецепты #еда #лазанья,neutral
"Я удалю тебя из друзей 
Я выкину свой телефон",negative
7) мой скринтайм чаще всего 8+ часов,neutral
"Молодожены с помощью родителей купили ""Ладу"";    - Запишем на меня! - сказал муж;    - Квартиру на тебя записали; А у нас во всем справедли",neutral
"Написать функцию max с переменным количеством параметров, находит минимальное... https://t.co/8kmtODFINX",neutral
@fox_stpd Дай обниму https://t.co/kGlwb2QH9d,positive
@monteKlever @yandexmaps В регионах 2gis очень крутые.,positive
"Там реально будет с кем встретиться и что посетить, легендарный",positive
"обожаю этот тип отношений, когда вы как бы по кусочкам дополняете мысли, действия",positive
"мне уже скоро 22 года, а я всё еще не понимаю КОМУ И ДЛЯ КАКИХ ЦЕЛЕЙ ТРЕБОВАЛОСЬ ОКНО ИЗ ВАННОЙ НА КУХНЮ",neutral
@raspizdyulina Это чой та?,neutral
"Смешно,но с какой-то частью из всего этого у меня реально присутствует 
Хочу уже не первый месяц сходить к психологу https://t.co/OB3I1THxoc",neutral
@khaki_triangle Три минуты осталось,neutral
мне кажется если бы у руби был сольник он был бы пиздатым,positive
"Бордомыхский дог. Да.
Ваш Дед. https://t.co/cuU7sctGAJ",neutral
Андрей Муковозчик: Люди с улицы предлагают быть объективными. Но сами не хотят https://t.co/oUryprRYWr,negative
@dasha_hotpotato бро.....,neutral
@SofiEapr про РФС жиза,neutral
@GRfnNsLZRLuY6TJ @MoyshaSheckel7 @vishaserova С хомячками🤢,neutral
"@iovoglioamare в большом я был, там не очень гостеприимные ребята...",negative
Мой мем набрал 41 лайк😳💅,positive
@ebobo888 зато не с мужиком 😎,positive
@twt_bts_______ @BTSTRAXHITE что это не она,neutral
мне больно смотреть на свою руку,negative
@herringbonesalt @BadaBoomBabay @Sancho_Mark_ll @SobolLubov Скройся малолетнее необразованное шмо!,negative
@omena_unicorn *ОБНИМАЮ*,positive
"@vamprave отличная работа, коть 😍✨",positive
"Ура! Мной завершено задание ""Любимец горожан"" в игре Big Business HD для iPad!  #ipad #gameinsight #ipadgames",neutral
@DenisDolgirev да ... да ДА,neutral
@SergUA63 Радует курс европейских держав Румынии и Молдавии....не зря небесная сотня........,positive
@stayloveswoojin Дыня,neutral
ДА ТЫ ЗАЕБАЛ МЕНЯТЬ АККАУНТЫ https://t.co/BaTu9c2a2p,negative
Хочу просто обниматься обниматься обниматься обниматься обниматься,positive
@Best_Ural Честь ему и хвала.Один честный нашелся на просторах РФ.Люди...Почему вы молчите?,negative
@optimisster Остерегайся людей с именем Понтий Пилат. И не мой ни кому ноги. Хотя бы до тридцати четырёх.,negative
Коронавирус в России убил уже свыше 5000 человек • ГЛАВК – последние новости со всего мира https://t.co/VMtH6ZIc8T,negative
"- назовите имя для брони
- а любое можно?",neutral
@ustroydestroy20 +++ тебе за пост,positive
@velsonar Почему?(,neutral
"@Dima__Krilov @MrMaaay @MercUSSR Не переживай, таких мало...их голос тоньше писка.",negative
@juisiee А НУ ВЫШЕЛ ИЗ ТВИТТЕРА,negative
"@yoursbitchh Все равно ненадолго
/протягивает пистолет/
Мне очень нужна ваша помощь",negative
"И так, синяки на коленях🤔🤔🤔 Марию Хвасы я не танцевала, так откуда эти сволочи взялись?",negative
@nadyeva @doshirak_man соболезную всем московским по этому поводу,negative
@khnhnw Жаль что нельзя отдать тебе все деньги мира чтобы ты наняла себе личного повара,positive
@iamatmylimit Стэню все правильно сделали королева 🤲💖,positive
У меня сдох телефон короче всем спокойной ночи,negative
"Я спала меньше 4 часов, знаете как я себя чувствую? Я себя вообще не чувствую",negative
"В среду забрали Окс с дачи, на этом праздники закончились))",positive
@darias_twt Ты смешная😅😅😅,positive
"я давно так не хотела продолжить смотреть сериал и давно так мало отвлекалась на смартфон, как во время просмотра devs",neutral
Проверила сейчас словарный диктант. Насчитала у одного ученика около 40 ошибок. Класс. https://t.co/sGvGLHcKLc,negative
"@afallman Списывать не давал, а помогал парочке двоечников с уроками) соответственно имел их уважение и защиту если что)",neutral
@uzeg1 Юүүүү аниа 😍,positive
@antonhartzman *два часа рассматривает свой нос в зеркало*,neutral
"❗Шойгу заявил, что пуск ракет ""Булава"" был выполнен на дальность 5,5 тыс. км https://t.co/0qy3SM6cs2 https://t.co/qLSy4Rgrzp",neutral
ШИППЕРЮ!!!!!! https://t.co/0VFHMNomYk,positive
@diphyleia_grayi я думаю это легко объяснить их же одевает см,neutral
@OOO_Dolbodyatl @shopin19711 не надо убивать бедную проституку,negative
"Ооо, что то вышло ?",neutral
@olyagfurslf да я специально 😎😎😎,neutral
"@ove44ka 😍😍😍😍😍
Очень рада, что у тебя сегодня был такой восхитительный день💛✨💛",positive
@ja_jamong_ еще хуже,negative
Зато у меня есть розовые шмотки~ https://t.co/JwAZ4EAD6m,positive
Я СКАЧАЛА ТЕРРАРИЮ НА НОУТ @altaismylove,positive
@pavel_gord Привет подпишись,neutral
@chinquiniaaa меня не за что любить,negative
"@1A6zNzORhEWMA3X @mr1717mailru1 Да кожу снять, чего уж там",negative
"""сижу как большой"" (с)

уже кто-то делал тред ""Ярослав Баярунас как Дэвид Теннант, не умеющий сидеть на стульях""?",negative
США поднимут на днях в небо у российских границ крупную авиагруппировку: https://t.co/XDRdNGZQ2Y через @eurasiadaily,neutral
@Mad_akuma ЭТО ВСЕГДА КРУТО,positive
"кофеманы заебали. Можно носиться со своим любимым напитком как-то потише? Я вот может водку люблю, но не ору же повсюду ‘водка моя водка’",negative
"@polar1_1bear Идиота Вы сможете в зеркале увидеть: для олигофренов вроде Вас поясню: я к не гражданка россии, доступно?",negative
@RT_InoTV Эстонский след... ещё-бы лет 500 обождали.,negative
"@eri_arika План
Если нужна помощь, зови
Я известный токсик человек",positive
В который раз убедилась что кпоп лучше реальных людей,negative
как же я хочу тебе ебнуть. ты не представляешь.,negative
@GLOBALL78 Государственные преступники?,neutral
пиздец как мне смешно https://t.co/pvZEAXKsz3,positive
💢Кто и что вас бесит?💢😾,neutral
@ginabryzgalova Да:) но я на 1 ночь,positive
"9:12
Захуя я проснулась?",negative
@martkoshka0603 Вот неее? https://t.co/SMbQN0vExm,neutral
Тихановская не увидела поддержки Лукашенко со стороны России https://t.co/iQ0drczPJE,neutral
"Меня тонко унизили, сказав что камера на Айфоне лучше 🤦",negative
А вы когда-нибудь хотели накурить крысу?,negative
@Blue_dancerz Хотя бы таааак,neutral
@13_Dimka Ммм... прелесть!,positive
мне купили суши и салат цезарь буду смотреть про наруто я счастлив,positive
"@hellismesuka Прости,но я и сам для себя сладость https://t.co/KuxLRPS2xE",positive
"@42MAY1 я заплакала, бедный котя, вот же бляди тупые. https://t.co/IKbF4hzjq2",negative
@nnnnnettti я очень сильно хочу взаимодействовать👉🏻👈🏻🥺,positive
@nedozivudopensi От диареи Линекс или Бифидум. Это из-за антибиотиков.,neutral
@meh_heh_meh ОООООУ МАЙ😍😍😍,positive
@mayoonniz ой ну и кому ты пиздишь кать,negative
"Монитор домашнего компа кажется огромным, какой кайф, а какое быстродействие!",positive
@rep_mono_na_vek просыпаться так тяжко...,negative
@penguin8811 контроль вышел куда пошел вернись,neutral
"@Orange_pnz но вообще оно того стоит, самый вменяемый паблик, в гасе все же 50% комментаторов либо мрази, либо идиоты",negative
"@afallman Списывать не давал, а помогал парочке двоечников с уроками) соответственно имел их уважение и защиту если что)",neutral
"Какой ресурс, такие и эксперДы 🤣 https://t.co/DzIIRdTOmi",negative
@dashayurgens @khatsanovsky Та то понятно)),positive
@qertori @cryingcut1e я хочу написать материал и летом выступать на открытых микрофонах погнали все вместе пхах,positive
"мне кажется, что я такая депрессивная бич

а поч кажется, тАк и ЕстЬ",negative
"@p2RPBxRYl6tu7bk Отключи Витька, вдруг это не Витёк, это может быть опасно",neutral
@Forest66815756 @dimsmirnov175 Прям первая в мире?),positive
Ёжик пришёл https://t.co/b6GoRB3VjE,neutral
@esmi_el Дикаприо случайно,neutral
@_tommo_LA Это да....,neutral
может ну и его нахрен и сесть за флафф.... хмм,neutral
@heyspok А че у вас не каникулы разве?,neutral
@hzn_pedro одиноким*,neutral
Украинцы «на Багамах». Опубликованы сотни тысяч документов про офшорные фирмы на Багамских островах • ... https://t.co/cOuQS1YuXd,neutral
Этот взгляд в самую душу 🥵🥵🥵 https://t.co/UB3nyc74TI,positive
@moony_moon_twt КАКОГО ХУЯ НИК БЛЯЯЯЯЯЯЯ ОБОЖАЮ ЕГО,positive
@_dolce_69 мне лень. у меня ютуб и инста вместо тт,neutral
@notursuperhuman Надеюсь мне приснитесь вы с Минхо 🥺🥺🥺,positive
@Goldhend22 @AndriS_1128 @5Lilit @ikairika Бывает гормональное,neutral
"00:00
Я гуглю правила дореволюционной русского языка...
Карантин, что ты со мной делаешь?",negative
"мама зашла в офис, увидела что я смотрю геройку и села смотреть со мной...штош https://t.co/ULkUAs7wuz",neutral
"@berkovapussia Писали ""не ходите в 2020"", но никто расшифровать не смог",neutral
@WayV_official ПИЗДЕЦ ЭТО ПОЛНЫЙ ПИЗДЕЦ,negative
@CORYPH_ жарко пипец я вообще не вывожу... у меня от жары голова кружится даже дома я 24/7 под вентиком сижу😔😔😔😔,negative
Я пошёл плакать https://t.co/SdQmrIOHQC,negative
"Так, я не поняла, что за двусмысленный текст?? https://t.co/u1KuSFSQ23",negative
"Полиция проверит руководство «Нестле-Россия» на причастность к краже земли НЛМК 

https://t.co/jCKbgIvueJ https://t.co/fKamONAwTq",negative
"@natal_evna все прекрасны 💙
но по настроению я чаще всего ричард, что-то напевающий себе на english, пока иду по делам",positive
доброе утро меня зовут лера но вы можете звать меня спать,neutral
@yon_yon_aksi Очень люблю эту песню. https://t.co/vGroCVkt9O,positive
Я ХОЧУ СОБАКУ,positive
"В Москве на станции ""Лермонтовский проспект"" погибла женщина https://t.co/dXj6gLxgJG",negative
"Мне тут чел сказал ,что умные только те ,у кого красный диплом и высшее образование ,ЧТО БЛЯТЬ ПРОСТИТЕ ?",negative
Омг😭😭😭 как же она мне нравится https://t.co/hRo4xaZSS2,positive
Богиня в кадре💔 https://t.co/Otj4YyCKrm,positive
"@krou_696 Сочувствую (
Жызнъ болъ",negative
